WhiteElo,BlackElo,Result,StartingFEN,Transcript,TranscriptMoved
1593,1666,1-0,bbnnrqkr/pppppppp/8/8/8/8/PPPPPPPP/BBNNRQKR w KQkq - 0 1,;1.c4 e5 2.b3 d6 3.d4 f6 4.Bf5 Ne7 5.Bh3 Nf7 6.g3 Ng5 7.Bg2 c6 8.h4 Nf7 9.Nd3 Bc7 10.e4 Nh6 11.Ne3 Qf7 12.d5 O-O 13.g4 cxd5 14.exd5 Kh8 15.g5 fxg5 16.hxg5 Nhf5 17.Bh3 Nxe3 18.Rxe3 Ng6 19.Ne1 Nf4 20.Bg2 Qg6 21.Rg3 b6 22.Re3 Bb7 23.Be4 Bc8 24.Bxg6 Re7 25.Be4 Kg8 26.Rf3 g6 27.Ng2 Bd7 28.Nxf4 exf4 29.Qg2 Ref7 30.Qh2 Bf5 31.Bxf5 Rxf5 32.Bc3 Bd8 33.Bd2 Bxg5 34.Kg2 h6 35.Re1 R8f7 36.Re2 Kh7 37.Qg1 h5 38.Qe1 Bh6 39.Re7 Rg5+ 40.Kf1 Rf5 41.Rxf7+ Rxf7 42.Qe4 Bg7 43.Bxf4 Bf6 44.Bg3 Be5 45.Rxf7+ Kh6 46.Bxe5 dxe5 47.Qxe5,;1.c4 e5 2.b3 d6 3.d4 f6 4.Bf5 Ne7 5.Bh3 Nf7 6.g3 Ng5 7.Bg2 c6 8.h4 Nf7 9.Nd3 Bc7 10.e4 Nh6 11.Ne3 Qf7 12.d5 O-O 13.g4 cxd5 14.exd5 Kh8 15.g5 fxg5 16.hxg5 Nhf5 17.Bh3 Nxe3 18.Rxe3 Ng6 19.Ne1 Nf4 20.Bg2 Qg6 21.Rg3 b6 22.Re3 Bb7 23.Be4 Bc8 24.Bxg6 Re7 25.Be4 Kg8 26.Rf3 g6 27.Ng2 Bd7 28.Nxf4 exf4 29.Qg2 Ref7 30.Qh2 Bf5 31.Bxf5 Rxf5 32.Bc3 Bd8 33.Bd2 Bxg5 34.Kg2 h6 35.Re1
1552,1965,0-1,bqrbknnr/pppppppp/8/8/8/8/PPPPPPPP/BQRBKNNR w KQkq - 0 1,;1.Nf3 f6 2.Ng3 e5 3.d3 d5 4.c3 b6 5.e4 c5 6.b3 d4 7.c4 Ne6 8.a3 Nf4 9.O-O Ne7 10.Ne2 Neg6 11.Nxf4 Nxf4 12.g3 Ng6 13.Be2 Bc6 14.Bb2 Bd7 15.Qc2 h5 16.h4 Bg4 17.Nh2 Bh3 18.Rfe1 Qc7 19.Bf1 Bxf1 20.Rxf1 Qd7 21.Qe2 Qh3 22.Qf3 Be7 23.Qg2 Qe6 24.Nf3 Nf8 25.Kh2 g5 26.Nxg5 fxg5 27.Qh3 gxh4 28.Qxe6 Nxe6 29.gxh4 Bxh4 30.f4 Nxf4,
1567,1500,1-0,nnbrqbkr/pppppppp/8/8/8/8/PPPPPPPP/NNBRQBKR w KQkq - 0 1,;1.Nb3 d6 2.d4 Qc6 3.Nc3 b6 4.e4 Bb7 5.d5 Qd7 6.Bd3 Qg4 7.h3 Qh4,
1764,1972,0-1,rnbnqkrb/pppppppp/8/8/8/8/PPPPPPPP/RNBNQKRB w KQkq - 0 1,;1.e4 c5 2.Nbc3 Nbc6 3.O-O d6 4.Nb5 Qd7 5.Ne3 a6 6.Nc3 g6 7.Ncd5 Rb8 8.Rb1 b5 9.c3 O-O 10.d3 e6 11.Ng4 exd5 12.Nh6+ Kg7 13.Qe3 dxe4 14.dxe4 Re8 15.Re1 Kf8 16.h3 f5 17.Qf3 Nf7 18.Be3 Rxe4 19.Rbd1 Nce5 20.Qg3 Bg7 21.Nxf7 Qxf7 22.Rxd6 f4 23.Qh4 Bd7 24.Bd2 Rxe1+ 25.Bxe1 Kg8 26.g4 h6 27.Bd5 Qxd5 28.Qe7 Qf7 29.Rxd7 Nxd7 30.Qxf7+ Kxf7,;1.e4 c5 2.Nbc3 Nbc6 3.O-O d6 4.Nb5 Qd7 5.Ne3 a6 6.Nc3 g6 7.Ncd5 Rb8 8.Rb1 b5 9.c3 O-O 10.d3 e6 11.Ng4 exd5 12.Nh6+ Kg7 13.Qe3 dxe4 14.dxe4 Re8 15.Re1 Kf8 16.h3 f5 17.Qf3 Nf7 18.Be3 Rxe4 19.Rbd1 Nce5 20.Qg3 Bg7 21.Nxf7 Qxf7 22.Rxd6 f4 23.Qh4 Bd7 24.Bd2 Rxe1+ 25.Bxe1 Kg8 26.g4 h6 27.Bd5
1983,1692,1-0,rnnqbbkr/pppppppp/8/8/8/8/PPPPPPPP/RNNQBBKR w KQkq - 0 1,;1.d4 g6 2.e4 Bg7 3.c3 d6 4.f4 e6 5.Nd2 Ne7 6.Nf3 Nd7 7.Bd3 O-O 8.Ne2 c6 9.Bd2 Qc7 10.Qc2 a6 11.g4 b5 12.h4 Nb6 13.h5 d5 14.e5 c5 15.hxg6 hxg6 16.Ng3 c4 17.Be2 b4 18.Qd1 bxc3 19.bxc3 Ba4 20.Qf1 Rfb8 21.Qh3 Kf8 22.Qh7 Ng8 23.Nh4 Ra7 24.f5 exf5 25.gxf5 gxf5 26.Nhxf5 f6 27.e6 Bc2 28.Qh5 Bxf5 29.Nxf5 Rbb7 30.Kf2 Nc8 31.Rhg1 Nd6 32.Bf4 Ne4+ 33.Kf3 Nd2+ 34.Bxd2 Rb2 35.e7+ Qxe7 36.Nxe7 Rxe7 37.Rxg7 Rxg7 38.Bh6 Rxe2 39.Bxg7+ Kxg7 40.Kxe2 Ne7 41.Rg1+ Ng6 42.Qxg6+ Kf8 43.Qh7 Ke8 44.Rb1 Kd8 45.Rb8#,;1.d4 g6 2.e4 Bg7 3.c3 d6 4.f4 e6 5.Nd2 Ne7 6.Nf3 Nd7 7.Bd3 O-O 8.Ne2 c6 9.Bd2 Qc7 10.Qc2 a6 11.g4 b5 12.h4 Nb6 13.h5 d5 14.e5 c5 15.hxg6 hxg6 16.Ng3 c4 17.Be2 b4 18.Qd1 bxc3 19.bxc3 Ba4 20.Qf1 Rfb8 21.Qh3 Kf8 22.Qh7 Ng8 23.Nh4 Ra7 24.f5 exf5 25.gxf5 gxf5 26.Nhxf5 f6 27.e6 Bc2 28.Qh5 Bxf5 29.Nxf5 Rbb7 30.Kf2 Nc8 31.Rhg1 Nd6 32.Bf4 Ne4+ 33.Kf3 Nd2+ 34.Bxd2 Rb2 35.e7+ Qxe7 36.Nxe7 Rxe7 37.Rxg7 Rxg7 38.Bh6 Rxe2 39.Bxg7+ Kxg7 40.Kxe2 Ne7 41.Rg1+
1967,1335,1-0,rbknnqbr/pppppppp/8/8/8/8/PPPPPPPP/RBKNNQBR w KQkq - 0 1,;1.f4 c6 2.e4 Bc7 3.d4 Nd6 4.c4 g6 5.c5 Nb5 6.a4 Nxd4 7.Bxd4 Qh6 8.Bxh8 Bxf4+ 9.Kc2 f6 10.Nd3 Bc7 11.e5 Nf7 12.exf6 Nxh8 13.fxe7 Bf7 14.Qxf7 Nxf7 15.e8=Q+ Nd8 16.Ba2 Qg5 17.g3 Qg4 18.Nc3 Kb8 19.Raf1 a6 20.h3 Qxg3 21.Qxd7 Qg2+ 22.Kb1 Qg3 23.Rf8 Ka7 24.Ne4 Qg2 25.Nef2 Bg3 26.Rxd8 Bxf2 27.Rxa8+ Kxa8 28.Qc8+ Ka7 29.Rd1,;1.f4 c6 2.e4 Bc7 3.d4 Nd6 4.c4 g6 5.c5 Nb5 6.a4 Nxd4 7.Bxd4 Qh6 8.Bxh8 Bxf4+ 9.Kc2 f6 10.Nd3 Bc7 11.e5 Nf7 12.exf6 Nxh8 13.fxe7 Bf7 14.Qxf7 Nxf7 15.e8=Q+ Nd8 16.Ba2 Qg5 17.g3 Qg4 18.Nc3 Kb8 19.Raf1 a6 20.h3 Qxg3 21.Qxd7 Qg2+ 22.Kb1 Qg3 23.Rf8 Ka7 24.Ne4 Qg2 25.Nef2 Bg3 26.Rxd8 Bxf2 27.Rxa8+ Kxa8 28.Qc8+ Ka7 29.Rd1
1500,1500,0-1,bqnbrknr/pppppppp/8/8/8/8/PPPPPPPP/BQNBRKNR w KQkq - 0 1,;1.Nf3 Nf6 2.e4 e5 3.b4 b6 4.Bxe5 Nxe4 5.d3 Rxe5 6.dxe4 Rxe4 7.Be2 O-O 8.O-O Rfe8 9.Ng5 Bxg5 10.f3 R4e7 11.f4 Bf6 12.Bf3 Rxe1 13.Rxe1 Rxe1+ 14.Kf2 Re8 15.Bxa8 Qxa8,
1642,1914,0-1,bbrnkrnq/pppppppp/8/8/8/8/PPPPPPPP/BBRNKRNQ w KQkq - 0 1,;1.g3 e5 2.b3 Nc6 3.Nf3 d6 4.d4 e4 5.Nd2 f5 6.d5 Nb4 7.c4 Nf6 8.Ne3 g6 9.Bc3 c5 10.f3 exf3 11.Nxf3 Qg7 12.Ng5 Qe7 13.Ne6 Rf7 14.Qg2 b5 15.O-O a5 16.a3 bxc4 17.axb4 axb4 18.Bxf6 Rxf6 19.Nxf5 gxf5 20.Bxf5 cxb3 21.e4 c4 22.Ng7+ Qxg7 23.Bxc8 c3 24.Ra1 Ba7+ 25.Kh1 Rxf1+ 26.Qxf1 b2 27.Qb5+ Kf8 28.Rf1+ Qf7 29.Rxf7+ Kxf7 30.Qxb4 Bd4 31.Bg4,
1915,1848,0-1,rnqbbknr/pppppppp/8/8/8/8/PPPPPPPP/RNQBBKNR w KQkq - 0 1,;1.Nf3 Nf6 2.d4 O-O 3.c4 d5 4.cxd5 Nxd5 5.Nc3 Nxc3 6.Bxc3 e6 7.Bc2 Bf6 8.O-O g6 9.e4 Bb5 10.Re1 c5 11.e5 Bg7 12.Be4 Bc6 13.Qe3 Bxe4 14.Qxe4 Rd8 15.Rad1 Qc6 16.Qh4 Nd7 17.Ng5 Nf8 18.dxc5 Qxc5 19.Rxd8 Rxd8 20.Nxh7 Nxh7 21.Qxh7+ Kxh7,;1.Nf3 Nf6 2.d4 O-O 3.c4 d5 4.cxd5 Nxd5 5.Nc3 Nxc3 6.Bxc3 e6 7.Bc2 Bf6 8.O-O g6 9.e4 Bb5 10.Re1 c5 11.e5 Bg7 12.Be4 Bc6 13.Qe3 Bxe4 14.Qxe4 Rd8 15.Rad1 Qc6 16.Qh4 Nd7 17.Ng5 Nf8 18.dxc5 Qxc5 19.Rxd8 Rxd8
1812,1920,0-1,nrnbkqbr/pppppppp/8/8/8/8/PPPPPPPP/NRNBKQBR w KQkq - 0 1,;1.d4 f5 2.f3 Nd6 3.Nab3 Nb6 4.Nd3 Bc4 5.e3 Qf6 6.Be2 O-O 7.Ne5 Bxe2 8.Qxe2 e6 9.c4 Nf7 10.c5 Nxe5 11.dxe5 Qxe5 12.cxb6 axb6 13.Bf2 c5 14.O-O d5 15.Bg3 f4 16.Bf2 d4 17.e4 Ra8 18.a3 Bc7 19.Nd2 Kh8 20.Nc4 Qh5 21.e5 b5 22.Nd6 Bxd6 23.exd6 Qd5 24.Qxb5 Qxd6 25.Qxb7 Rab8 26.Qe4 Rfe8 27.g3 e5 28.Rfe1 g5 29.b3 c4 30.bxc4 Rxb1 31.Rxb1 Qxa3 32.Rb7 Re7 33.Bxd4 Qc1+ 34.Kg2 Qd2+ 35.Bf2 Rxb7 36.Qxb7 fxg3 37.hxg3 g4 38.Qe4 Qg5 39.Qxg4 Qxg4 40.fxg4 Kg7 41.Kf3 Kf7 42.Ke4 Ke7,;1.d4 f5 2.f3 Nd6 3.Nab3 Nb6 4.Nd3 Bc4 5.e3 Qf6 6.Be2 O-O 7.Ne5 Bxe2 8.Qxe2 e6 9.c4 Nf7 10.c5 Nxe5 11.dxe5 Qxe5 12.cxb6 axb6 13.Bf2 c5 14.O-O d5 15.Bg3 f4 16.Bf2 d4 17.e4 Ra8 18.a3 Bc7 19.Nd2 Kh8 20.Nc4 Qh5 21.e5 b5 22.Nd6 Bxd6 23.exd6 Qd5 24.Qxb5 Qxd6 25.Qxb7 Rab8 26.Qe4 Rfe8 27.g3 e5 28.Rfe1 g5 29.b3 c4 30.bxc4 Rxb1
